"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"SEVILLA","Aguadulce","AUTOVIA A-92 ,KM 98","TESLA SPAIN SLU","8","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Abadiño","BARRIO MURUETA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BADAJOZ","Albuera (La)","AVENIDA DE EXTREMADURA ,44","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MADRID","Alcobendas","CALLE VALPORTILLA II ,8","Acciona Eficiencia Energética, S.L.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Alcobendas","CALLE ANABEL SEGURA (DE) ,11","IBERDROLA CLIENTES SOCIEDAD ANONIMA","28","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Alcorcón","CALLE VEREDA DE LOS BARROS ,28","JOHNSTON VENTURES SL","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CÁDIZ","Barrios (Los)","URBANIZACIÓN GUADACORTE ,CC BAHA CENTRO ","PAGA MENOS LUZ SL","1","10","ENDESA DISTRIBUCION ELECTRICA, S.L."
"CANTABRIA","Astillero (El)","BARRIO BOO, CALLE BOO ,52","ESTACION DE SERVICIO BOO G2 S.L","1","400","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Bárcena de Cicero","AUTOVIA A8 ,182","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","E.ON DISTRIBUCION, S.L."
"BALEARS, ILLES","Calvià","CARRETERA ANDRATX ,12-12,4","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BALEARS, ILLES","Campanet","CARRETERA PALMA-ALCUDIA ,36,8","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Cangas de Onís","CALLE PICOS DE EUROPA ,S/N","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Cabezón de la Sal","BARRIO CABROJO S/N ,0","AREA DE SERVICIO VIRGEN DE LA PEÑA S.L","1","400","E.ON DISTRIBUCION, S.L."
"BALEARS, ILLES","Campos","CAMINO DE CIUTAT VELL ,S/N","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Barakaldo","AVENIDA DE LA RIBERA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","CALLE LA INMACULADA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","6","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","CALLE RONDA DE AZKUE ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","AVENIDA LA RIBERA  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ALICANTE/ALACANT","Alicante/Alacant","CARRETERA AGOST-URBS ,9","MARE NOSTRUM OIL MANAGEMENT S.L.U.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ALICANTE/ALACANT","Alicante/Alacant","AVENIDA MAISONNAVE ,53","SABA APARCAMIENTOS S.A.","4","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CÁDIZ","Conil de la Frontera","CARRETERA NACIONAL 340 ,17","ENSE CONIL S.L.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BADAJOZ","Badajoz","POLIGONO NEVERO EL ,18","Sol Ardila S.L.","1","220V","ENDESA"
"BARCELONA","Badalona","PLAZA PLANA ,1","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIRONA","Banyoles","PASSEIG MOSSEN LLUIS CONSTANS ,1B","AGRI-ENERGIA S.A.","2","400","AGRI ENERGIA ELECTRICA, S.A."
"CIUDAD REAL","Almuradiel","CARRETERA A-4 ,243","SFERAONE SOLUTIONS Y SERVICES SL","1","15000","UNION FENOSA DISTRIBUCION, S.A."
"PALMAS, LAS","Palmas de Gran Canaria (Las)","CALLE JUAN DE QUESADA ,9","IBERDROLA CLIENTES SOCIEDAD ANONIMA","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Azkoitia","BARRIO UROLA, POI. BASTERRETXE ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"HUELVA","Calañas","BARRIADA VIRGEN DE ESPAÑA ,S/N","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Azpeitia","PLAZA AZPEITIKO PLAZA NAGUSIA ,AZOKA PLAZAREN ","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","220","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Barcelona","CALLE LOPE DE VEGA ,125","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA MARAGALL ,S/N","REGESA APARCAMENTS I SERVEIS, S.A.","4","230400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MIQUEL FERRA ,S/N","REGESA APARCAMENTS I SERVEIS, S.A.","4","230400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA FERRAN REYES ,S/N","REGESA APARCAMENTS I SERVEIS, S.A.","4","230400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA WAGNER ,S/N","REGESA APARCAMENTS I SERVEIS, S.A.","4","230400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASEO DEL TAULAT ,262","HILTON OF SPAIN SL","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE SABINO ARANA ,22","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE TRAVESSERA DE GRACIA ,43","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE TRAVESSERA DE GRACIA ,17","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA PARALLEL ,55","IBERDROLA CLIENTES SOCIEDAD ANONIMA","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG GRACIA ,112","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG GRACIA ,42","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA TRAVESSERA DE GRACIA ,12","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA CATEDRAL ,1","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MAISONNAVE ,174","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MALLORCA ,12","BARCELONA DE SERVEIS MUNICIPALS, SA","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA RASOS DE PEGUERA ,51","BARCELONA DE SERVEIS MUNICIPALS, SA","3","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE HORTAL ,36","BARCELONA DE SERVEIS MUNICIPALS, SA","3","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA DIAGONAL ,612","FACTOR ENERGIA SA","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG JOAN DE BORBÓ ,S/N","EMPARK APARCAMIENTOS Y SERVICIOS SA","8","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA DIAGONAL ,687","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE FRANÇA XICA ,8","BARCELONA DE SERVEIS MUNICIPALS, SA","11","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","TRAVESSERA DALT ,51","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE TEODOR LLORENTE ,10","BARCELONA DE SERVEIS MUNICIPALS, SA","4","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE HORTAL ,168","BARCELONA DE SERVEIS MUNICIPALS, SA","8","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE HORTAL ,425","BARCELONA DE SERVEIS MUNICIPALS, SA","3","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG GARCIA FARIA (DE) ,71","BARCELONA DE SERVEIS MUNICIPALS, SA","4","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","VÍA VALL D'HEBRON ,107","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE FRANÇA XICA ,35","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE CONCEPCION ARENAL ,156","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE SALVADOR MUNDI ,17","BARCELONA DE SERVEIS MUNICIPALS, SA","4","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MONGES ,2","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","RAMBLA POBLENOU ,130","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MARQUES DE MULHACEN ,51","BARCELONA DE SERVEIS MUNICIPALS, SA","8","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE JAUME FABRA ,12","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG MARAGALL ,54","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CARRER ESCORIAL (L') ,1","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA BONANOVA ,2","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG MANUEL GIRONA ,77","BARCELONA DE SERVEIS MUNICIPALS, SA","8","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE PADILLA ,159","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE DOCTOR AIGUADER ,88","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PLAZA D'ERNEST LLUCH I MARTÍN ,S/N","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG VALL D'HEBRON ,138","BARCELONA DE SERVEIS MUNICIPALS, SA","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","RONDA GENERAL MITRE ,203","BARCELONA DE SERVEIS MUNICIPALS, SA","4","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE RAMON ALBO ,77","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MARINA ,13","BARCELONA DE SERVEIS MUNICIPALS, SA","9","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA LITORAL ,34","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE ALI BEI ,54","BARCELONA DE SERVEIS MUNICIPALS, SA","25","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE FLOS I CALCAT ,2","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE CIUTAT DE GRANADA ,173","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE MARINA ,345","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE GRAN DE GRACIA ,190","BARCELONA DE SERVEIS MUNICIPALS, SA","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE CARDENAL SENTMENAT ,37","BARCELONA DE SERVEIS MUNICIPALS, SA","9","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA JOAN XXIII ,23","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE JOSEP BALARI ,9","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE BILBAO ,29","BARCELONA DE SERVEIS MUNICIPALS, SA","5","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG MARITIM BARCELONETA ,23","BARCELONA DE SERVEIS MUNICIPALS, SA","9","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASEO DE LA ZONA FRANCA ,142-144","SOCIEDAD ESPAÑOLA DE CONSTRUCCIONES ELECTRICAS SA","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","AVENIDA REINA MARIA CRISTINA ,16","BARCELONA DE SERVEIS MUNICIPALS, SA","32","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE CASTILLEJOS ,328","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","CALLE TORRENT DE L'OLLA ,203","BARCELONA DE SERVEIS MUNICIPALS, SA","7","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Barcelona","PASSEIG COLOM ,1","BARCELONA DE SERVEIS MUNICIPALS, SA","6","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"HUELVA","Campofrío","AVENIDA CUENCA MINERA ,2","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Colunga","CALLE LAS PALMERAS ,S/N","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"TOLEDO","Bargas","CALLE COMERCIO ,5, LOCAL 2","ELECTRYPARK MANAGEMENT SL","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Berriz","POLIGONO EITUA INDUSTRIALDEA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Corvera de Asturias","CALLE EDIFICIO COLISEO  ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Castro-Urdiales","AVENIDA CONSTITUCION (LA) ,2","SABA APARCAMIENTOS S.A.","4","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","PLAZA INDAUTXU ,2","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CARRER BILBAO-GALDAKAO ,20","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE PARKING ZABALBURU ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE PARKING ALHONDIGA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","6","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE ELORRIETA ,S7N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","3","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE PARKING INSTITUTO UNAMUNO   ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","8","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE LEHENDAKARI LEIZAOLA ,5","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE ELCANO ,9","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE GRAN VIA DIEGO LOPEZ DE HARO ,63-65","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE PARKING ENSANCHE  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","6","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CARRETERA LA AVANZADA - LEJONA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CALLE QUINTANA  ,LO","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","PLAZA EUSKADI ,5","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Bilbao","CAMI MIRAMAR ,60","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Cudillero","CARRETERA CARRETERA NACIONAL 632, KM 7 ,7","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Franco (El)","CALLE EL MARÓN,  VALDEPARES  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","E.ON DISTRIBUCION, S.L."
"SANTA CRUZ DE TENERIFE","San Cristóbal de La Laguna","CALLE MAZO ,7","FENIE ENERGIA SA","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SANTA CRUZ DE TENERIFE","San Cristóbal de La Laguna","CALLE TERESA DE CALCUTA ,26","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"JAÉN","Carolina (La)","CARRETERA NACIONAL IV ,269.20","VALPAWIN CARBURANTES SL","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Gijón","AVENIDA DE LA CONSTITUCIÓN ,220","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","AVENIDA DE OVIEDO ,176","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE ALVAREZ GARAYA ,10","EDP COMERCIALIZADORA, S.A.","2","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE ALFREDO TRUAN ,1","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","PLAZA SAN MIGUEL ,1","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE AVELINO GONZÁLEZ MALLADA ,27","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE PEDRO PUIG ADAM ,S/N","EDP COMERCIALIZADORA, S.A.","2","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE JUAN ALVARGONZÁLEZ ,41","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","AVENIDA TORCUATO FERNÁNDEZ MIRANDA ,2","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","AVENIDA DEL LLANO ,19","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE ORIENTAL ,11","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CALLE CARLOS MARX ,1","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Gijón","CARRETERA CEARES A CASTIELLO ,118","EDP COMERCIALIZADORA, S.A.","2","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Grado","AVENIDA DE LOS DEPORTES ,1","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Grado","CALLE ASTURIAS ,1","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"CÁDIZ","Puerto de Santa María (El)","AVENIDA FUENTE BRAVÍA, CRTA. PTO. SANTA MARÍA -ROTA  ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","ENDESA DISTRIBUCION ELECTRICA, S.L."
