"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"PONTEVEDRA","Meis","CALLE ?ARMENTEIRA-SAN MARTIÑO  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CALLE PLAZA ,4","GAS NATURAL SERVICIOS SDG, S.A.","4","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CARRETERA CIRCUNVALACION ,1-15","GAS NATURAL SERVICIOS SDG, S.A.","5","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CALLE ENRIQUE MARIÑAS ROMERO PERIODI ,9","GAS NATURAL SERVICIOS SDG, S.A.","4","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CALLE TORRE ,60","GAS NATURAL SERVICIOS SDG, S.A.","3","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","AVENIDA ALCALDE ALFONSO MOLINA ,1","GAS NATURAL SERVICIOS SDG, S.A.","5","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CALLE GALILEO GALILEI ,1","GAS NATURAL SERVICIOS SDG, S.A.","5","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","CUESTA PALLOZA ,5","GAS NATURAL SERVICIOS SDG, S.A.","4","230","UNION FENOSA DISTRIBUCION, S.A."
"CORUÑA, A","Coruña (A)","PLAZA PONTEVEDRA ,S/N","SABA APARCAMIENTOS S.A.","4","400","UNION FENOSA DISTRIBUCION, S.A."
"GIPUZKOA","Eibar","AVENIDA OTAOLA ,5","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MURCIA","Murcia","AUTOVIA A-7 ,760","TESLA MOTORS NETHERLANDS BV","6","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MURCIA","Murcia","CARRETERA CARRETERA ESPINARDO ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"PALMAS, LAS","Valsequillo de Gran Canaria","AVENIDA SAN NOGUERO ,A71","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Elgoibar","CALLE AUTONOMIA ,8","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Elgoibar","PLAZA UBITARTE ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Laviana","POLIGONO POLIGONO EL SOTO ,S/N","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"BALEARS, ILLES","Manacor","VÍA PALMA ,87","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIRONA","Caldes de Malavella","CARRETERA N-II ,701","TESLA SPAIN SLU","10","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Ariza","CARRETERA DE MADRID ,S/N","TESLA MOTORS NETHERLANDS BV","6","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ALBACETE","Gineta (La)","AUTOVIA A-31 ,KM 52","TESLA MOTORS NETHERLANDS BV","8","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Llanera","POLIGONO POLIGONO SILVOTA CALLE PEÑA SANTA ,S/N","EDP COMERCIALIZADORA, S.A.","2","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Llanera","POLIGONO POLIGONO SILVOTA CALLE PEÑA REDONDA ,S/N","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Llanera","CALLE SEVERO OCHOA ,13","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Llanera","POLIGONO PARQUE TECNOLOGICO ,PARCELA 43","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Llanera","AVENIDA PRUDENCIO GONZALEZ ,2","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"BALEARS, ILLES","Marratxí","CALLE SIURELLS ,1","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Hondarribia","CALLE MINASOROETA KALEA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Hondarribia","CALLE JAITZUBIA AUZOA ,154","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"RIOJA, LA","Calahorra","CALLE BEBRICIO ,71","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Mieres","CALLE GONZALO GUTIERREZ QUIROS ,S/N","EDP COMERCIALIZADORA, S.A.","3","400","E.ON DISTRIBUCION, S.L."
"ASTURIAS","Mieres","CALLE GONZALO GUTIERREZ QUIROS ,S/N","EDP COMERCIALIZADORA, S.A.","2","400","E.ON DISTRIBUCION, S.L."
"SANTA CRUZ DE TENERIFE","Santa Cruz de Tenerife","CALLE LOS MOLINOS ,9","INGJF 2017 SL","1","230 ","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SANTA CRUZ DE TENERIFE","Santa Cruz de Tenerife","CALLE EDUARDO WESTERDAHL ,2","FENIE ENERGIA SA","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SANTA CRUZ DE TENERIFE","Santa Cruz de Tenerife","CALLE LAURA GROTE DE LA PUERTA ,5","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"TARRAGONA","Cambrils","CARRETERA CAMÍ VELL DE MONTBRIÓ DEL CAMP A CAMBRILS ,KM. 2,2","GONE RENOVABLES SL","1","127","ASCOL ENERGIA"
"JAÉN","Guarromán","AVENIDA LINARES ,28","TESLA SPAIN SLU","10","480","Endesa Distribución"
"BIZKAIA","Garay","CALLE MARTXOAREN ZORTZIKO ,6, 5A, PLAZA 24","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BALEARS, ILLES","Palma","CAMINO CAN PASTILLA ,1","Endesa Energía S.A.U.","1","220","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BALEARS, ILLES","Palma","CALLE MIKEL FARADAY ,1","SAMPOL INGENIERIA Y OBRAS","1","15000",""
"BALEARS, ILLES","Palma","CAMINO FONDO ,S/N","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"HUELVA","Huelva","CARRETERA SEVILLA-TARTESSOS ,27","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Noreña","CALLE REGINO ESCALERA ,1","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Irun","CALLE POTZUETAKOGAINA KALEA ,19 , BAJO , 3","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Peñamellera Alta","BARRIO BARRIO LLOMBERO ,S/N","EDP COMERCIALIZADORA, S.A.","1","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Ribera Baja/Erribera Beitia","AVENIDA ALAVA ,2","TESLA SPAIN SLU","8","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Legazpi","CALLE LANAREN HIRIBIDEA ,5","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALENCIA/VALÈNCIA","Benaguasil","CALLE REQUENA ,9","ATRIBAL, S.L.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CIUDAD REAL","Manzanares","CARRETERA N-IV (MADRID-CADIZ) ,K-173","TESLA SPAIN SLU","10","480","UNION FENOSA DISTRIBUCION, S.A."
"MÁLAGA","Fuengirola","AUTOVIA DEL MEDITERRANEO-PARQUE COMERCIAL MIRAMAR ,S/N","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Leioa","CALLE METRO LEIOA  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Arrasate/Mondragón","CALLE MUSAKOLA AUZOA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Arrasate/Mondragón","CALLE GOIRU KALEA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GRANADA","Cúllar","AUTOVIA A-92 ,SALIDA 356","TESLA MOTORS NETHERLANDS BV","8","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Mutriku","CALLE LARANGA AUZOA , 6-PROX 1, BAJO","FENIE ENERGIA SA","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Mutriku","BARRI MAGDALENA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ASTURIAS","Ribadesella","POLIGONO POLIGONO GUADAMIA, CALLE B ,S/N","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","BULEVAR SALBURUA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE ALBERT EINSTEIN - MIÑANO ,25","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE PARKING ARTIUM, PRUDENCIO Mª VERASTEGUI ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","4","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE JOSE MARDONES ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","3","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE PORTAL DE ELORRIAGA ,17","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE ALTO DE ARMENTIA ,7","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","PLAZA FRANCISCO JUAN DE AYALA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE HERMANOS LUMIERE (PAR, TECNO. DE VITORIA)   ,11","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","5","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","PLAZA DEL RENACIMIENTO 1-GA  ,1-GA","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","5","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE CERCAS BAJAS ,11","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE LUIS HEINTZ ,2","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","CALLE ORTAL DE GAMARA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ARABA/ÁLAVA","Vitoria-Gasteiz","PLAZA RIGOBERTA MENCHU ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","5","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BURGOS","Burgos","AUTOVIA A-1 ,KM 235","TESLA MOTORS NETHERLANDS BV","6","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Oñati","CALLE DE ARANTZAZUKO AMA ,25","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Reocín","BARRIO EL  REOCIN S/N ,0","JAVEL OIL CORPORATION S.L","1","400","E.ON DISTRIBUCION, S.L."
"BALEARS, ILLES","Sóller","CARRETERA DESVIAMENT ,30","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MADRID","Galapagar","CARRETERA M-51O ,1,8 ","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Getafe","AVENIDA ADA LOVELACE (DE) ,23","TESLA SPAIN SLU","8","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIRONA","Figueres","PLAZA CATALUNYA ,S/N","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Siero","URBANIZACIÓN URB. LA FRESNEDA, LAS CABAÑAS ,S/N","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Ruente","BARRIO MECA S/N BAJO 001 UCIEDA ,0","COMBUSTIBLES DEL CANTABRICO SL","1","400","E.ON DISTRIBUCION, S.L."
"MÁLAGA","Málaga","AVENIDA JENOFONTE ,S/N","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","AVENIDA SANTA ROSA DE LIMA ,20","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","CALLE CONCEJAL MUÑOZ CERVAN ,11-17","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","CALLE ALONSO CARRILLO DE ALBORNOZ ,1","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","CALLE ALFONSO PONCE DE LEON ,1","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","AVENIDA ANDALUCIA ,6","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","CALLE CERVANTES ,S/N","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","1","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","PLAZA LA MARINA ,1","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","1","240","ENDESA DISTRIBUCION ELECTRICA"
"MÁLAGA","Málaga","CALLE COMPOSITOR LEHMBERG RUIZ ,S/N","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","1","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","PLAZA JESÚS EL RICO ,2-3","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","3","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","AVENIDA SANTA ROSA DE LIMA ,S/N","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","2","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","CALLE CAMAS ,S/N","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","1","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Málaga","AVENIDA ANDALUCIA ,S/N","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS SA","5","240","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MADRID","Guadarrama","CALLE JARA ,12","ANTIS GUADARRAMA S.L","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE ARCCO AMARA PLAZA IRÚN ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE DOKTOR BEGIRISTAIN PASEALEKUA ,107","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","9","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","PASEO MIKELETEGI ,53","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE ELIAS SALABERRIA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE BERMINGHAM ,23","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE HERNANI ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Donostia-San Sebastián","CALLE ZARAUTZ ,136","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MÁLAGA","Marbella","PLAZA MONSEÑOR RODRIGO BOCANEGRA ,67","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MÁLAGA","Marbella","CALLE JOSE SARAMAGO ,10","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Tapia de Casariego","POLIGONO POLIGONO CORTAFICIO, CALLE A ,PARCELA 18","EDP COMERCIALIZADORA, S.A.","1","400","E.ON DISTRIBUCION, S.L."
"ASTURIAS","Tapia de Casariego","AVENIDA DE GALICIA ,2","EDP COMERCIALIZADORA, S.A.","1","230","E.ON DISTRIBUCION, S.L."
"RIOJA, LA","Haro","CALLE SANTIAGO ,12","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BURGOS","Cardeñajimeno","CARRETERA CARRETERA N-120 (LOGROÑO - VIGO), KM. 106 ,106","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Leganés","CALLE ARROYO DEL SOTO ,2","ESTACIÓN DE SERVICIO MAVEL, S.L.","1","608040","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Santander","PASEO PEREDA ,30","E.ON ENERGÍA S.L.","1","230","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Santander","CALLE REAL CONSULADO ,1","E.ON ENERGÍA S.L.","1","230","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Santander","CALLE MANUEL GARCIA LAGO ,1","E.ON ENERGÍA S.L.","1","230","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Santander","CALLE LUCIANO MALUMBRES ,1","E.ON ENERGÍA S.L.","1","230","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Santander","CALLE JERONIMO SAINZ DE LA MAZA ,1","EMPARK APARCAMIENTOS Y SERVICIOS SA","4","400","E.ON DISTRIBUCION, S.L."
"ASTURIAS","Villaviciosa","CARRETERA CARRETERA PLAYA DE RODILES ,S/N","EDP COMERCIALIZADORA, S.A.","2","230","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Portugalete","CALLE ALMIRANTE CRISTÓBAL MELLO ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Portugalete","CALLE GREGORIO UZQUIANO ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIRONA","Girona","CALLE FRANCESC FERRER GIRONES ,16","TESLA MOTORS NETHERLANDS BV","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIRONA","Girona","CARRER BERENGUER CARNICER ,2","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIPUZKOA","Zarautz","CALLE ARABA KALEA ,41","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIPUZKOA","Zarautz","CALLE AIZIAZPIA, ABENDAÑO AUZOA ,4","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","CALLE PADRE DAMIÁN ","NEW BROADBAND NETWORK SOLUTIONS, S.L. (N2S)","3","220","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","CALLE ORENSE ","NEW BROADBAND NETWORK SOLUTIONS, S.L. (N2S)","2","220","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","AVENIDA CAPITAL DE ESPAÑA ","NEW BROADBAND NETWORK SOLUTIONS, S.L. (N2S)","4","220","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","PASEO CASTELLANA ,220","NEW BROADBAND NETWORK SOLUTIONS, S.L. (N2S)","2","220","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","CALLE ANTONIO LOPEZ ,8","COMERCIAL SAMA, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","PASEO INFANTA ISABEL ,15","RIVELSA, S.L.U.","1","606060","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","PLAZA MOSTENSES ,S/N","SABA APARCAMIENTOS S.A.","4","400","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","CALLE SAN BERNARDO ,122","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","PASEO CASTELLANA ,52","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","CALLE GOYA ,123","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Madrid","PASEO CASTELLANA ,160","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Madrid","CALLE MAESTRO ARBOS ,2","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","5","400230","UNION FENOSA DISTRIBUCION, S.A."
